Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P60203,MYPR_RAT,Myelin proteolipid protein,Plp1,44819200000,43101200000,48811000000,49280700000,48494900000,36649900000,48752400000,38198900000,47373500000,44009600000
P60517,GBRAP_RAT,Gamma-aminobutyric acid receptor-associated protein,Gabarap,5801480,7315520,9102460,7929700,7427070,5445300,8849720,6973170,7859240,7600840
P60522,GBRL2_RAT,Gamma-aminobutyric acid receptor-associated protein-like 2,Gabarapl2,74411400,69451100,79501800,92590100,86126800,31990900,68421000,55048700,61734400,59050200
P60711,ACTB_RAT,"Actin, cytoplasmic 1",Actb,6748790000,7045500000,6781750000,6767730000,6126140000,4923230000,6644710000,5896440000,6397850000,5910070000
P60756,MDGA2_RAT,MAM domain-containing glycosylphosphatidylinositol anchor protein 2,Mdga2,2699880,3016260,3201640,3023910,2655470,2144760,2673530,2500220,2881690,1925730
P60825,CIRBP_RAT,Cold-inducible RNA-binding protein,Cirbp,26302400,34881700,24992800,26023100,19914400,20112600,20012200,25158300,20928600,21235900
P60841,ENSA_RAT,Alpha-endosulfine,Ensa,25267300,28318900,23329700,19769800,21739600,13672300,19878900,13038000,17787200,23357100
P60868,RS20_RAT,Small ribosomal subunit protein uS10,Rps20,104894000,90446700,89260400,95048000,73582700,120576000,97378900,100115000,80179400,86893400
P60881,SNP25_RAT,Synaptosomal-associated protein 25,Snap25,390617000,417687000,282654000,335231000,321497000,256845000,289761000,211490000,256746000,318475000
P60892,PRPS1_RAT,Ribose-phosphate pyrophosphokinase 1,Prps1,1325040000,1355160000,1387700000,1516080000,1350820000,1071610000,1460380000,1188610000,1421790000,1292470000
P60901,PSA6_RAT,Proteasome subunit alpha type-6,Psma6,101254000,95615600,99385300,119760000,121607000,89127100,111410000,97910000,108349000,110638000
P60905,DNJC5_RAT,DnaJ homolog subfamily C member 5,Dnajc5,135660000,149662000,118660000,119176000,99765900,93474900,122385000,101187000,117582000,118700000
P61023,CHP1_RAT,Calcineurin B homologous protein 1,Chp1,64327900,67025700,64374800,65906600,54157200,45162600,65646300,59508400,54399500,56960200
P61078,UB2D3_RAT,Ubiquitin-conjugating enzyme E2 D3,Ube2d3,94878900,85964200,91459200,105588000,108137000,62061800,112399000,80272300,94770900,79488800
P61107,RAB14_RAT,Ras-related protein Rab-14,Rab14,113836000,131090000,151071000,148758000,154414000,66319800,123852000,94913500,109951000,101543000
P61149,FGF1_RAT,Fibroblast growth factor 1,Fgf1,40589800,33773800,35072700,34467600,39184000,28439700,35054600,27159900,29875300,32668200
P61150,FGF12_RAT,Fibroblast growth factor 12,Fgf12,21444600,18677800,20000000,22748400,25508300,18433600,21632000,19504700,21489300,18665500
P61203,CSN2_RAT,COP9 signalosome complex subunit 2,Cops2,109564000,103003000,112834000,119062000,118878000,87966000,119892000,102251000,107770000,105138000
P61206;P84079,ARF1_RAT;ARF3_RAT,ADP-ribosylation factor 3,Arf3,,,1203970,18734800,1500210,3182400,4051550,16576000,10910800,15888300
P61212,ARL1_RAT,ADP-ribosylation factor-like protein 1,Arl1,17077000,17530000,17180400,18364600,18328000,12408000,16559500,15240400,15656400,14782100
P61227,RAP2B_RAT,Ras-related protein Rap-2b,Rap2b,19428400,18557000,17332700,17327900,15753100,6610520,19052000,14264100,15231600,16265500
